Timesteps: 10000, Eval reward: 0.13636363636363633
Timesteps: 20000, Eval reward: 0.10909090909090909
Timesteps: 30000, Eval reward: 0.1727272727272727
Timesteps: 40000, Eval reward: 0.1545454545454545
Timesteps: 50000, Eval reward: 0.15454545454545454
Timesteps: 60000, Eval reward: 0.20909090909090908
Timesteps: 70000, Eval reward: 0.1727272727272727
Timesteps: 80000, Eval reward: 0.14999999999999997
Timesteps: 90000, Eval reward: 0.11363636363636365
Timesteps: 100000, Eval reward: 0.14545454545454542
Timesteps: 110000, Eval reward: 0.19545454545454544
Timesteps: 120000, Eval reward: 0.09999999999999998
Timesteps: 130000, Eval reward: 0.17727272727272725
Timesteps: 140000, Eval reward: 0.1727272727272727
Timesteps: 150000, Eval reward: 0.20909090909090908
Timesteps: 160000, Eval reward: 0.27272727272727265
Timesteps: 170000, Eval reward: 0.15909090909090906
Timesteps: 180000, Eval reward: 0.11363636363636362
Timesteps: 190000, Eval reward: 0.15454545454545449
Timesteps: 200000, Eval reward: 0.20454545454545453
Timesteps: 210000, Eval reward: 0.13636363636363633
Timesteps: 220000, Eval reward: 0.1818181818181818
Timesteps: 230000, Eval reward: 0.1318181818181818
Timesteps: 240000, Eval reward: 0.11818181818181817
Timesteps: 250000, Eval reward: 0.2045454545454545
Timesteps: 260000, Eval reward: 0.12727272727272726
Timesteps: 270000, Eval reward: 0.23636363636363633
Timesteps: 280000, Eval reward: 0.18636363636363634
Timesteps: 290000, Eval reward: 0.1
Timesteps: 300000, Eval reward: 0.1318181818181818
Timesteps: 310000, Eval reward: 0.10909090909090909
Timesteps: 320000, Eval reward: 0.2272727272727272
Timesteps: 330000, Eval reward: 0.19090909090909086
Timesteps: 340000, Eval reward: 0.19999999999999996
Timesteps: 350000, Eval reward: 0.19090909090909086
Timesteps: 360000, Eval reward: 0.21363636363636357
Timesteps: 370000, Eval reward: 0.23636363636363633
Timesteps: 380000, Eval reward: 0.14545454545454545
Timesteps: 390000, Eval reward: 0.22727272727272724
Timesteps: 400000, Eval reward: 0.3136363636363636
Timesteps: 410000, Eval reward: 0.21818181818181817
Timesteps: 420000, Eval reward: 0.21818181818181812
Timesteps: 430000, Eval reward: 0.23636363636363633
Timesteps: 440000, Eval reward: 0.24545454545454543
Timesteps: 450000, Eval reward: 0.3227272727272727
Timesteps: 460000, Eval reward: 0.22272727272727272
Timesteps: 470000, Eval reward: 0.20454545454545453
Timesteps: 480000, Eval reward: 0.40909090909090906
Timesteps: 490000, Eval reward: 0.2909090909090908
Timesteps: 500000, Eval reward: 0.2863636363636363
Timesteps: 510000, Eval reward: 0.4227272727272727
Timesteps: 520000, Eval reward: 0.35454545454545444
Timesteps: 530000, Eval reward: 0.37727272727272726
Timesteps: 540000, Eval reward: 0.32727272727272727
Timesteps: 550000, Eval reward: 0.12272727272727268
Timesteps: 560000, Eval reward: 0.33181818181818173
Timesteps: 570000, Eval reward: 0.26818181818181813
Timesteps: 580000, Eval reward: 0.29999999999999993
Timesteps: 590000, Eval reward: 0.2954545454545454
Timesteps: 600000, Eval reward: 0.36363636363636365
Timesteps: 610000, Eval reward: 0.18181818181818182
Timesteps: 620000, Eval reward: 0.12727272727272726
Timesteps: 630000, Eval reward: 0.38636363636363635
Timesteps: 640000, Eval reward: 0.40909090909090906
Timesteps: 650000, Eval reward: 0.35
Timesteps: 660000, Eval reward: 0.45
Timesteps: 670000, Eval reward: 0.4227272727272727
Timesteps: 680000, Eval reward: 0.3818181818181817
Timesteps: 690000, Eval reward: 0.3227272727272727
Timesteps: 700000, Eval reward: 0.5045454545454545
Timesteps: 710000, Eval reward: 0.3545454545454545
Timesteps: 720000, Eval reward: 0.4954545454545454
Timesteps: 730000, Eval reward: 0.781818181818182
Timesteps: 740000, Eval reward: 0.8954545454545455
Timesteps: 750000, Eval reward: 0.8227272727272726
Timesteps: 760000, Eval reward: 1.0
Timesteps: 770000, Eval reward: 0.9545454545454545
Timesteps: 780000, Eval reward: 1.0
Timesteps: 790000, Eval reward: 1.0
Timesteps: 800000, Eval reward: 1.0
Timesteps: 810000, Eval reward: 0.8363636363636365
Timesteps: 820000, Eval reward: 0.959090909090909
Timesteps: 830000, Eval reward: 0.9045454545454545
Timesteps: 840000, Eval reward: 0.9181818181818182
Timesteps: 850000, Eval reward: 1.0
Timesteps: 860000, Eval reward: 1.0
Timesteps: 870000, Eval reward: 0.9863636363636363
Timesteps: 880000, Eval reward: 1.0
Timesteps: 890000, Eval reward: 1.0
Timesteps: 900000, Eval reward: 1.0
Timesteps: 910000, Eval reward: 1.0
Timesteps: 920000, Eval reward: 0.9
Timesteps: 930000, Eval reward: 1.0
Timesteps: 940000, Eval reward: 1.0
Timesteps: 950000, Eval reward: 1.0
Timesteps: 960000, Eval reward: 1.0
Timesteps: 970000, Eval reward: 0.8363636363636363
Timesteps: 980000, Eval reward: 0.95
Timesteps: 990000, Eval reward: 1.0
Timesteps: 1000000, Eval reward: 1.0
