Timesteps: 10000, Eval reward: 0.04545454545454546
Timesteps: 20000, Eval reward: 0.09090909090909091
Timesteps: 30000, Eval reward: 0.09999999999999999
Timesteps: 40000, Eval reward: 0.08181818181818182
Timesteps: 50000, Eval reward: 0.12272727272727268
Timesteps: 60000, Eval reward: 0.10909090909090909
Timesteps: 70000, Eval reward: 0.10909090909090909
Timesteps: 80000, Eval reward: 0.24545454545454545
Timesteps: 90000, Eval reward: 0.5454545454545455
Timesteps: 100000, Eval reward: 0.6772727272727271
Timesteps: 110000, Eval reward: 0.7045454545454545
Timesteps: 120000, Eval reward: 0.46363636363636357
Timesteps: 130000, Eval reward: 0.6454545454545455
Timesteps: 140000, Eval reward: 0.7
Timesteps: 150000, Eval reward: 0.6545454545454545
Timesteps: 160000, Eval reward: 0.8545454545454545
Timesteps: 170000, Eval reward: 0.6
Timesteps: 180000, Eval reward: 0.7727272727272727
Timesteps: 190000, Eval reward: 0.7363636363636366
Timesteps: 200000, Eval reward: 0.6090909090909091
Timesteps: 210000, Eval reward: 0.740909090909091
Timesteps: 220000, Eval reward: 0.6363636363636364
Timesteps: 230000, Eval reward: 0.6590909090909091
Timesteps: 240000, Eval reward: 0.47727272727272724
Timesteps: 250000, Eval reward: 0.6454545454545454
Timesteps: 260000, Eval reward: 0.7
Timesteps: 270000, Eval reward: 0.859090909090909
Timesteps: 280000, Eval reward: 0.8863636363636364
Timesteps: 290000, Eval reward: 0.6227272727272727
Timesteps: 300000, Eval reward: 0.6863636363636364
Timesteps: 310000, Eval reward: 0.7045454545454544
Timesteps: 320000, Eval reward: 0.9681818181818181
Timesteps: 330000, Eval reward: 0.7772727272727272
Timesteps: 340000, Eval reward: 0.6500000000000001
Timesteps: 350000, Eval reward: 0.8227272727272726
Timesteps: 360000, Eval reward: 0.6954545454545454
Timesteps: 370000, Eval reward: 0.6090909090909091
Timesteps: 380000, Eval reward: 0.7954545454545454
Timesteps: 390000, Eval reward: 0.809090909090909
Timesteps: 400000, Eval reward: 0.6863636363636363
Timesteps: 410000, Eval reward: 0.7181818181818183
Timesteps: 420000, Eval reward: 0.740909090909091
Timesteps: 430000, Eval reward: 0.9
Timesteps: 440000, Eval reward: 0.7
Timesteps: 450000, Eval reward: 0.8227272727272726
Timesteps: 460000, Eval reward: 0.5681818181818182
Timesteps: 470000, Eval reward: 0.7454545454545454
Timesteps: 480000, Eval reward: 0.7545454545454545
Timesteps: 490000, Eval reward: 0.95
Timesteps: 500000, Eval reward: 0.7272727272727273
Timesteps: 510000, Eval reward: 0.9545454545454547
Timesteps: 520000, Eval reward: 0.8863636363636364
Timesteps: 530000, Eval reward: 0.7681818181818183
Timesteps: 540000, Eval reward: 0.6545454545454545
Timesteps: 550000, Eval reward: 0.7727272727272727
Timesteps: 560000, Eval reward: 0.8363636363636363
Timesteps: 570000, Eval reward: 0.8045454545454545
Timesteps: 580000, Eval reward: 0.759090909090909
Timesteps: 590000, Eval reward: 0.8636363636363636
Timesteps: 600000, Eval reward: 0.7045454545454545
Timesteps: 610000, Eval reward: 0.7090909090909091
Timesteps: 620000, Eval reward: 0.7136363636363636
Timesteps: 630000, Eval reward: 0.85
Timesteps: 640000, Eval reward: 0.5818181818181818
Timesteps: 650000, Eval reward: 0.7454545454545454
Timesteps: 660000, Eval reward: 0.7772727272727272
Timesteps: 670000, Eval reward: 0.85
Timesteps: 680000, Eval reward: 0.8136363636363637
Timesteps: 690000, Eval reward: 0.9318181818181819
Timesteps: 700000, Eval reward: 0.8363636363636363
Timesteps: 710000, Eval reward: 0.7818181818181819
Timesteps: 720000, Eval reward: 0.8363636363636363
Timesteps: 730000, Eval reward: 0.6227272727272728
Timesteps: 740000, Eval reward: 0.9
Timesteps: 750000, Eval reward: 0.9545454545454547
Timesteps: 760000, Eval reward: 0.7545454545454546
Timesteps: 770000, Eval reward: 0.7590909090909091
Timesteps: 780000, Eval reward: 0.85
Timesteps: 790000, Eval reward: 0.7272727272727273
Timesteps: 800000, Eval reward: 0.8545454545454545
Timesteps: 810000, Eval reward: 0.9
Timesteps: 820000, Eval reward: 0.8545454545454545
Timesteps: 830000, Eval reward: 0.8181818181818181
Timesteps: 840000, Eval reward: 0.7954545454545454
Timesteps: 850000, Eval reward: 0.8181818181818181
Timesteps: 860000, Eval reward: 0.7045454545454545
Timesteps: 870000, Eval reward: 0.8772727272727273
Timesteps: 880000, Eval reward: 0.85
Timesteps: 890000, Eval reward: 0.8272727272727274
Timesteps: 900000, Eval reward: 0.8727272727272727
Timesteps: 910000, Eval reward: 0.8545454545454547
Timesteps: 920000, Eval reward: 0.7954545454545455
Timesteps: 930000, Eval reward: 0.8818181818181818
Timesteps: 940000, Eval reward: 0.7318181818181818
Timesteps: 950000, Eval reward: 0.759090909090909
Timesteps: 960000, Eval reward: 0.809090909090909
Timesteps: 970000, Eval reward: 0.809090909090909
Timesteps: 980000, Eval reward: 0.9045454545454547
Timesteps: 990000, Eval reward: 0.8863636363636364
Timesteps: 1000000, Eval reward: 0.8636363636363636
