Timesteps: 10000, Eval reward: 0.2703703703703703
Timesteps: 20000, Eval reward: 0.3833333333333333
Timesteps: 30000, Eval reward: 0.3592592592592592
Timesteps: 40000, Eval reward: 0.39999999999999997
Timesteps: 50000, Eval reward: 0.33518518518518514
Timesteps: 60000, Eval reward: 0.287037037037037
Timesteps: 70000, Eval reward: 0.30925925925925923
Timesteps: 80000, Eval reward: 0.3388888888888889
Timesteps: 90000, Eval reward: 0.34444444444444444
Timesteps: 100000, Eval reward: 0.35555555555555557
Timesteps: 110000, Eval reward: 0.34814814814814804
Timesteps: 120000, Eval reward: 0.37777777777777777
Timesteps: 130000, Eval reward: 0.42407407407407416
Timesteps: 140000, Eval reward: 0.4222222222222222
Timesteps: 150000, Eval reward: 0.38703703703703707
Timesteps: 160000, Eval reward: 0.49444444444444435
Timesteps: 170000, Eval reward: 0.45740740740740743
Timesteps: 180000, Eval reward: 0.4907407407407408
Timesteps: 190000, Eval reward: 0.3703703703703703
Timesteps: 200000, Eval reward: 0.4611111111111111
Timesteps: 210000, Eval reward: 0.4462962962962963
Timesteps: 220000, Eval reward: 0.5055555555555555
Timesteps: 230000, Eval reward: 0.4703703703703703
Timesteps: 240000, Eval reward: 0.4481481481481481
Timesteps: 250000, Eval reward: 0.49444444444444446
Timesteps: 260000, Eval reward: 0.562962962962963
Timesteps: 270000, Eval reward: 0.5425925925925925
Timesteps: 280000, Eval reward: 0.5981481481481482
Timesteps: 290000, Eval reward: 0.5074074074074073
Timesteps: 300000, Eval reward: 0.5666666666666667
Timesteps: 310000, Eval reward: 0.5796296296296297
Timesteps: 320000, Eval reward: 0.6203703703703703
Timesteps: 330000, Eval reward: 0.6277777777777778
Timesteps: 340000, Eval reward: 0.5370370370370371
Timesteps: 350000, Eval reward: 0.4981481481481481
Timesteps: 360000, Eval reward: 0.5222222222222223
Timesteps: 370000, Eval reward: 0.5
Timesteps: 380000, Eval reward: 0.5925925925925926
Timesteps: 390000, Eval reward: 0.5425925925925925
Timesteps: 400000, Eval reward: 0.537037037037037
Timesteps: 410000, Eval reward: 0.5907407407407408
Timesteps: 420000, Eval reward: 0.5574074074074076
Timesteps: 430000, Eval reward: 0.5611111111111111
Timesteps: 440000, Eval reward: 0.5981481481481481
Timesteps: 450000, Eval reward: 0.6407407407407407
Timesteps: 460000, Eval reward: 0.6185185185185186
Timesteps: 470000, Eval reward: 0.625925925925926
Timesteps: 480000, Eval reward: 0.5962962962962963
Timesteps: 490000, Eval reward: 0.5611111111111111
Timesteps: 500000, Eval reward: 0.6592592592592592
Timesteps: 510000, Eval reward: 0.6148148148148148
Timesteps: 520000, Eval reward: 0.5074074074074074
Timesteps: 530000, Eval reward: 0.5759259259259257
Timesteps: 540000, Eval reward: 0.5259259259259259
Timesteps: 550000, Eval reward: 0.6351851851851853
Timesteps: 560000, Eval reward: 0.612962962962963
Timesteps: 570000, Eval reward: 0.5777777777777776
Timesteps: 580000, Eval reward: 0.624074074074074
Timesteps: 590000, Eval reward: 0.6055555555555554
Timesteps: 600000, Eval reward: 0.5148148148148148
Timesteps: 610000, Eval reward: 0.6333333333333334
Timesteps: 620000, Eval reward: 0.6055555555555554
Timesteps: 630000, Eval reward: 0.6203703703703703
Timesteps: 640000, Eval reward: 0.6203703703703705
Timesteps: 650000, Eval reward: 0.6055555555555554
Timesteps: 660000, Eval reward: 0.5907407407407408
Timesteps: 670000, Eval reward: 0.6185185185185185
Timesteps: 680000, Eval reward: 0.6814814814814814
Timesteps: 690000, Eval reward: 0.5759259259259258
Timesteps: 700000, Eval reward: 0.612962962962963
Timesteps: 710000, Eval reward: 0.6222222222222222
Timesteps: 720000, Eval reward: 0.6925925925925926
Timesteps: 730000, Eval reward: 0.6129629629629629
Timesteps: 740000, Eval reward: 0.5888888888888888
Timesteps: 750000, Eval reward: 0.6333333333333334
Timesteps: 760000, Eval reward: 0.6055555555555555
Timesteps: 770000, Eval reward: 0.6129629629629629
Timesteps: 780000, Eval reward: 0.6500000000000001
Timesteps: 790000, Eval reward: 0.6407407407407406
Timesteps: 800000, Eval reward: 0.5907407407407408
Timesteps: 810000, Eval reward: 0.6148148148148149
Timesteps: 820000, Eval reward: 0.6518518518518518
Timesteps: 830000, Eval reward: 0.6351851851851851
Timesteps: 840000, Eval reward: 0.6444444444444444
Timesteps: 850000, Eval reward: 0.6481481481481481
Timesteps: 860000, Eval reward: 0.5851851851851851
Timesteps: 870000, Eval reward: 0.6092592592592593
Timesteps: 880000, Eval reward: 0.6111111111111112
Timesteps: 890000, Eval reward: 0.6740740740740742
Timesteps: 900000, Eval reward: 0.6222222222222221
Timesteps: 910000, Eval reward: 0.6055555555555555
Timesteps: 920000, Eval reward: 0.5870370370370369
Timesteps: 930000, Eval reward: 0.6148148148148148
Timesteps: 940000, Eval reward: 0.6203703703703705
Timesteps: 950000, Eval reward: 0.6666666666666667
Timesteps: 960000, Eval reward: 0.612962962962963
Timesteps: 970000, Eval reward: 0.6481481481481481
Timesteps: 980000, Eval reward: 0.538888888888889
Timesteps: 990000, Eval reward: 0.6574074074074073
Timesteps: 1000000, Eval reward: 0.6777777777777777
